,FEvals,Fitness,Iteration,Temperature,Time,max_iters
106,198.0,5.0,106,5,0.04866466599924024,2048
107,200.0,7.0,107,5,0.048799352000060026,2048
108,201.0,7.0,108,5,0.04890061599871842,2048
109,202.0,7.0,109,5,0.049000348000845406,2048
110,203.0,7.0,110,5,0.04910114000085741,2048
111,204.0,7.0,111,5,0.0492011700043804,2048
112,205.0,7.0,112,5,0.04930151499866042,2048
113,207.0,7.0,113,5,0.04943291000381578,2048
114,209.0,7.0,114,5,0.049565515997528564,2048
115,210.0,7.0,115,5,0.049668296000163537,2048
116,211.0,7.0,116,5,0.04977156200038735,2048
117,213.0,5.0,117,5,0.04991212399909273,2048
118,214.0,5.0,118,5,0.050017314999422524,2048
119,216.0,5.0,119,5,0.050152845004049595,2048
120,217.0,5.0,120,5,0.05025724200095283,2048
121,219.0,5.0,121,5,0.05039310400024988,2048
122,221.0,7.0,122,5,0.050526213002740405,2048
123,223.0,7.0,123,5,0.05066240100131836,2048
124,225.0,5.0,124,5,0.050805109000066295,2048
125,227.0,5.0,125,5,0.050952518002304714,2048
126,228.0,5.0,126,5,0.05106105199956801,2048
127,230.0,7.0,127,5,0.05119780899985926,2048
128,232.0,5.0,128,5,0.051336645999981556,2048
129,234.0,7.0,129,5,0.05727907400432741,2048
130,236.0,7.0,130,5,0.05743648800125811,2048
131,238.0,6.0,131,5,0.05758550699829357,2048
132,240.0,6.0,132,5,0.05774773200391792,2048
133,242.0,8.0,133,5,0.05790453300141962,2048
134,243.0,8.0,134,5,0.058020012998895254,2048
135,244.0,8.0,135,5,0.058131605001108255,2048
136,245.0,8.0,136,5,0.058241974998964,2048
137,246.0,8.0,137,5,0.05835279999882914,2048
138,247.0,8.0,138,5,0.05846419400040759,2048
139,248.0,8.0,139,5,0.05857506900065346,2048
140,250.0,6.0,140,5,0.05871677400136832,2048
141,251.0,6.0,141,5,0.058834545998252,2048
142,252.0,6.0,142,5,0.058950539998477325,2048
143,254.0,4.0,143,5,0.05909506099851569,2048
144,255.0,4.0,144,5,0.05920813899865607,2048
145,256.0,4.0,145,5,0.05932431099790847,2048
146,257.0,4.0,146,5,0.05943943199963542,2048
147,259.0,6.0,147,5,0.059600189997581765,2048
148,260.0,6.0,148,5,0.05971872599911876,2048
149,262.0,5.0,149,5,0.05987433600239456,2048
150,264.0,5.0,150,5,0.06002222299866844,2048
151,266.0,5.0,151,5,0.06016772500152001,2048
152,268.0,5.0,152,5,0.060313681002298836,2048
