,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
34,128,483.0,19503,1.5478379000001041,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
35,256,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
36,512,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
37,1024,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
38,2048,483.0,38831,3.0483924000000115,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",150,0.6,2048
39,0,298.0,200,0.0067504000001008535,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",200,0.4,2048
40,1,380.0,402,0.03319570000007843,"[3, 3, 4, 2, 0, 3, 4, 4, 3, 2, 3, 0, 4, 4, 4, 3, 4, 2, 4, 4]",200,0.4,2048
41,2,386.0,604,0.058717500000057044,"[1, 0, 2, 4, 3, 4, 3, 4, 2, 1, 4, 4, 4, 4, 2, 3, 2, 3, 3, 4]",200,0.4,2048
42,4,386.0,1006,0.09723910000002434,"[1, 0, 2, 4, 3, 4, 3, 4, 2, 1, 4, 4, 4, 4, 2, 3, 2, 3, 3, 4]",200,0.4,2048
43,8,440.0,1813,0.16421040000000175,"[4, 3, 4, 4, 3, 4, 3, 3, 0, 0, 1, 4, 4, 4, 1, 3, 4, 4, 4, 4]",200,0.4,2048
44,16,464.0,3424,0.295850400000063,"[4, 4, 2, 4, 3, 4, 4, 4, 0, 1, 3, 3, 4, 4, 4, 4, 4, 3, 2, 4]",200,0.4,2048
45,32,480.0,6645,0.6101880000001074,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 1, 1, 4, 4, 4, 4, 4, 4, 3, 4, 4]",200,0.4,2048
46,64,483.0,13078,1.2458581000000777,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.4,2048
47,128,483.0,25942,2.2220998000000236,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.4,2048
48,256,483.0,47449,3.8497216000000662,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.4,2048
49,512,483.0,47449,3.8497216000000662,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.4,2048
50,1024,483.0,47449,3.8497216000000662,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.4,2048
51,2048,483.0,47449,3.8497216000000662,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.4,2048
52,0,298.0,200,0.008974100000159524,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",200,0.5,2048
53,1,359.0,402,0.034219600000142236,"[2, 0, 4, 0, 1, 1, 2, 4, 2, 3, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4]",200,0.5,2048
54,2,395.0,604,0.060630200000105106,"[0, 3, 3, 3, 4, 3, 4, 1, 4, 3, 1, 4, 4, 4, 1, 4, 4, 3, 1, 4]",200,0.5,2048
55,4,408.0,1007,0.09854100000006838,"[1, 4, 3, 4, 4, 3, 3, 4, 4, 1, 0, 4, 2, 4, 0, 4, 4, 3, 4, 4]",200,0.5,2048
56,8,430.0,1814,0.1671720000001642,"[2, 4, 0, 4, 3, 3, 4, 4, 3, 2, 0, 4, 4, 4, 3, 4, 4, 1, 4, 4]",200,0.5,2048
57,16,458.0,3426,0.316217800000004,"[4, 4, 3, 4, 3, 3, 4, 4, 1, 3, 0, 4, 4, 4, 4, 4, 4, 4, 0, 4]",200,0.5,2048
58,32,478.0,6646,0.5678256000001056,"[4, 4, 0, 4, 4, 4, 4, 4, 1, 1, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
59,64,483.0,13080,1.0524265000001378,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
60,128,483.0,25944,2.0566407000001163,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
61,256,483.0,47853,3.7046014000000014,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
62,512,483.0,47853,3.7046014000000014,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
63,1024,483.0,47853,3.7046014000000014,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
64,2048,483.0,47853,3.7046014000000014,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.5,2048
65,0,298.0,200,0.00619290000008732,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",200,0.6,2048
66,1,359.0,402,0.033005100000082166,"[2, 0, 4, 0, 1, 1, 2, 4, 2, 3, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4]",200,0.6,2048
67,2,386.0,604,0.06391740000003665,"[1, 1, 2, 4, 3, 4, 2, 4, 2, 1, 3, 4, 4, 4, 2, 3, 2, 3, 4, 4]",200,0.6,2048
68,4,400.0,1008,0.10315680000007887,"[2, 3, 0, 4, 3, 4, 4, 4, 2, 1, 3, 4, 4, 4, 2, 3, 2, 3, 0, 4]",200,0.6,2048
69,8,421.0,1815,0.17795720000003712,"[3, 3, 1, 4, 4, 4, 2, 4, 2, 2, 0, 4, 4, 4, 3, 3, 4, 2, 4, 3]",200,0.6,2048
70,16,458.0,3427,0.3153431000000637,"[4, 4, 1, 4, 4, 4, 4, 3, 2, 1, 1, 4, 4, 4, 2, 4, 4, 2, 3, 4]",200,0.6,2048
71,32,476.0,6648,0.572185700000091,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 3, 4, 4, 4, 2, 4, 4, 4, 4, 4]",200,0.6,2048
72,64,483.0,13083,1.0720430000001215,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.6,2048
73,128,483.0,25947,2.0385716000000684,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.6,2048
74,256,483.0,49062,3.900009000000182,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.6,2048
