,FEvals,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
88,97.0,71.0,88,0.25,150,249.5561931340053,2048,False
89,98.0,71.0,89,0.25,150,252.42538303600304,2048,False
90,99.0,71.0,90,0.25,150,255.24261290600407,2048,False
91,100.0,71.0,91,0.25,150,258.07759656600683,2048,False
92,101.0,71.0,92,0.25,150,260.9152599000008,2048,False
93,102.0,71.0,93,0.25,150,263.7280804270049,2048,False
94,103.0,71.0,94,0.25,150,266.6394056160061,2048,False
95,104.0,71.0,95,0.25,150,269.48141556700284,2048,False
96,105.0,71.0,96,0.25,150,272.36780761600676,2048,False
97,106.0,71.0,97,0.25,150,275.20350421600597,2048,False
98,107.0,71.0,98,0.25,150,278.1416217160004,2048,False
99,108.0,71.0,99,0.25,150,280.9917780100004,2048,False
100,109.0,71.0,100,0.25,150,283.81700724000257,2048,False
101,110.0,71.0,101,0.25,150,286.6590822070066,2048,False
102,111.0,71.0,102,0.25,150,289.48742898300407,2048,False
103,112.0,71.0,103,0.25,150,292.29802544700215,2048,False
104,113.0,71.0,104,0.25,150,295.1149164170056,2048,False
105,114.0,71.0,105,0.25,150,297.93652105300134,2048,False
106,115.0,71.0,106,0.25,150,300.96191180900496,2048,False
107,116.0,71.0,107,0.25,150,303.7887114740006,2048,False
108,117.0,71.0,108,0.25,150,306.60918080400006,2048,False
109,118.0,71.0,109,0.25,150,309.4289557210068,2048,False
110,119.0,71.0,110,0.25,150,312.3365966630008,2048,False
111,120.0,71.0,111,0.25,150,315.1858747590013,2048,False
112,121.0,71.0,112,0.25,150,318.00209862900374,2048,False
113,122.0,71.0,113,0.25,150,320.8897954109998,2048,False
114,123.0,71.0,114,0.25,150,323.80609815700154,2048,False
115,124.0,71.0,115,0.25,150,326.745299840004,2048,False
116,125.0,71.0,116,0.25,150,329.7264860620053,2048,False
117,126.0,71.0,117,0.25,150,332.7197883770059,2048,False
118,127.0,71.0,118,0.25,150,335.5656432350006,2048,False
119,128.0,71.0,119,0.25,150,338.4098824920002,2048,False
120,129.0,71.0,120,0.25,150,341.3031715230027,2048,False
121,130.0,71.0,121,0.25,150,344.1044911470017,2048,False
122,131.0,71.0,122,0.25,150,346.9954036220006,2048,False
123,132.0,71.0,123,0.25,150,349.8798695460064,2048,False
124,133.0,71.0,124,0.25,150,352.69958563100226,2048,False
125,134.0,71.0,125,0.25,150,355.49393688600685,2048,False
126,135.0,71.0,126,0.25,150,358.29830705000495,2048,False
127,136.0,71.0,127,0.25,150,361.10447952500544,2048,False
128,137.0,71.0,128,0.25,150,363.92235363900545,2048,False
129,138.0,71.0,129,0.25,150,366.90351690100215,2048,False
130,139.0,71.0,130,0.25,150,369.7297751560036,2048,False
131,140.0,71.0,131,0.25,150,372.517767879006,2048,False
132,141.0,71.0,132,0.25,150,375.3591303160065,2048,False
133,142.0,71.0,133,0.25,150,378.2291372100008,2048,False
134,143.0,71.0,134,0.25,150,381.23558757000137,2048,False
135,144.0,71.0,135,0.25,150,384.1035453720033,2048,False
136,145.0,71.0,136,0.25,150,387.0169198520016,2048,False
137,146.0,71.0,137,0.25,150,389.82398033600475,2048,False
138,147.0,71.0,138,0.25,150,392.6165503060038,2048,False
139,148.0,71.0,139,0.25,150,395.44683062900003,2048,False
140,149.0,71.0,140,0.25,150,398.2980971770012,2048,False
141,150.0,71.0,141,0.25,150,401.1318778910063,2048,False
142,151.0,71.0,142,0.25,150,403.9353442300053,2048,False
143,152.0,71.0,143,0.25,150,406.81009721400187,2048,False
144,153.0,71.0,144,0.25,150,409.6840384320021,2048,False
145,154.0,71.0,145,0.25,150,412.5600232430006,2048,False
146,155.0,71.0,146,0.25,150,415.39307254300365,2048,False
147,156.0,71.0,147,0.25,150,418.24649941700045,2048,False
148,157.0,71.0,148,0.25,150,421.041344518002,2048,False
149,158.0,71.0,149,0.25,150,423.8788373550051,2048,False
150,159.0,71.0,150,0.25,150,426.7286039160026,2048,False
151,160.0,71.0,151,0.25,150,429.5931508480062,2048,False
152,161.0,71.0,152,0.25,150,432.4078297580054,2048,False
153,162.0,71.0,153,0.25,150,435.2220615670012,2048,False
154,163.0,71.0,154,0.25,150,438.04515060900303,2048,False
155,164.0,71.0,155,0.25,150,440.9450526319997,2048,False
156,165.0,71.0,156,0.25,150,443.81332575000124,2048,False
157,166.0,71.0,157,0.25,150,446.647545369,2048,False
158,167.0,71.0,158,0.25,150,449.4549263020017,2048,False
159,168.0,71.0,159,0.25,150,452.39174303800246,2048,False
160,169.0,71.0,160,0.25,150,455.33148391900613,2048,False
161,170.0,71.0,161,0.25,150,458.1774021090023,2048,False
162,171.0,71.0,162,0.25,150,460.99688601000526,2048,False
163,172.0,71.0,163,0.25,150,463.795236982005,2048,False
164,173.0,71.0,164,0.25,150,466.6556244220046,2048,False
165,174.0,71.0,165,0.25,150,469.5453363820052,2048,False
166,175.0,71.0,166,0.25,150,472.53577011400193,2048,False
167,176.0,71.0,167,0.25,150,475.35558092500287,2048,False
168,177.0,71.0,168,0.25,150,478.30985996300296,2048,False
169,178.0,71.0,169,0.25,150,481.11591726600454,2048,False
170,179.0,71.0,170,0.25,150,483.91437243300606,2048,False
171,180.0,71.0,171,0.25,150,486.8129848190001,2048,False
172,181.0,71.0,172,0.25,150,489.64087710300373,2048,False
173,182.0,71.0,173,0.25,150,492.5598384260011,2048,False
174,183.0,71.0,174,0.25,150,495.4395630950021,2048,False
175,184.0,71.0,175,0.25,150,498.32221981200564,2048,False
176,185.0,71.0,176,0.25,150,501.21917166900676,2048,False
177,186.0,71.0,177,0.25,150,504.0467036650007,2048,False
178,187.0,71.0,178,0.25,150,506.8855903290023,2048,False
179,188.0,71.0,179,0.25,150,509.80837462100317,2048,False
180,189.0,71.0,180,0.25,150,512.7568058520046,2048,False
181,190.0,71.0,181,0.25,150,515.5910105400035,2048,False
182,191.0,71.0,182,0.25,150,518.4050459710052,2048,False
183,192.0,71.0,183,0.25,150,521.2436335590028,2048,False
184,193.0,71.0,184,0.25,150,524.0456618420067,2048,False
185,194.0,71.0,185,0.25,150,526.993484478,2048,False
186,195.0,71.0,186,0.25,150,529.816739836002,2048,False
187,196.0,71.0,187,0.25,150,532.7619816740043,2048,False
188,197.0,71.0,188,0.25,150,535.5815022280003,2048,False
189,198.0,71.0,189,0.25,150,538.4199756550006,2048,False
190,199.0,71.0,190,0.25,150,541.3353586900048,2048,False
191,200.0,71.0,191,0.25,150,544.1639271200038,2048,False
192,201.0,71.0,192,0.25,150,546.9818661410027,2048,False
193,202.0,71.0,193,0.25,150,549.8884987370038,2048,False
194,203.0,71.0,194,0.25,150,552.6975770800054,2048,False
195,204.0,71.0,195,0.25,150,555.5508587450022,2048,False
196,205.0,71.0,196,0.25,150,558.4316348089997,2048,False
197,206.0,71.0,197,0.25,150,561.2414466660048,2048,False
198,207.0,71.0,198,0.25,150,564.2036807490003,2048,False
199,208.0,71.0,199,0.25,150,567.0208855090023,2048,False
200,209.0,71.0,200,0.25,150,569.847293622006,2048,False
201,210.0,71.0,201,0.25,150,572.6855499920057,2048,False
202,211.0,71.0,202,0.25,150,575.5560414670035,2048,False
203,212.0,71.0,203,0.25,150,578.5193454809996,2048,False
204,213.0,71.0,204,0.25,150,581.3367805660018,2048,False
205,214.0,71.0,205,0.25,150,584.1868234980066,2048,False
206,215.0,71.0,206,0.25,150,587.0894613970013,2048,False
207,216.0,71.0,207,0.25,150,589.9065696240068,2048,False
208,217.0,71.0,208,0.25,150,592.7164478340055,2048,False
209,218.0,71.0,209,0.25,150,595.5452463850015,2048,False
210,219.0,71.0,210,0.25,150,598.376991502002,2048,False
211,220.0,71.0,211,0.25,150,601.1860164509999,2048,False
212,221.0,71.0,212,0.25,150,604.1274546620043,2048,False
213,222.0,71.0,213,0.25,150,607.0511620329999,2048,False
214,223.0,71.0,214,0.25,150,609.9045535680052,2048,False
215,224.0,71.0,215,0.25,150,612.7297430940016,2048,False
216,225.0,71.0,216,0.25,150,615.7209274210036,2048,False
217,226.0,71.0,217,0.25,150,618.6509918820011,2048,False
218,227.0,71.0,218,0.25,150,621.4635452470029,2048,False
219,228.0,71.0,219,0.25,150,624.2757273840034,2048,False
220,229.0,71.0,220,0.25,150,627.0719919870025,2048,False
221,230.0,71.0,221,0.25,150,630.0671896380009,2048,False
222,231.0,71.0,222,0.25,150,632.883323672002,2048,False
