,FEvals,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,0,69.0,0,50,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",0.004189569001027849,0,2048
1,1,69.0,1,50,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",0.010605028001009487,0,2048
2,2,69.0,2,50,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 56, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",0.01716129999840632,0,2048
3,5,66.0,4,50,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 0, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 19, 48, 1, 0, 16, 54, 31, 29, 44]",0.027809148996311706,0,2048
4,10,63.0,8,50,"[47, 4, 25, 54, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 38, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 0, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 0, 16, 54, 31, 29, 44]",0.04275747700012289,0,2048
5,20,57.0,16,50,"[47, 4, 25, 60, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 27, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 0, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 14, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 0, 16, 54, 31, 29, 44]",0.06800177299737697,0,2048
6,39,52.0,32,50,"[47, 4, 25, 60, 3, 19, 23, 39, 28, 57, 14, 23, 8, 25, 46, 42, 26, 8, 39, 27, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 49, 24, 55, 53, 48, 59, 61, 0, 34, 56, 9, 15, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 48, 16, 54, 31, 29, 44]",0.11238693199993577,0,2048
7,77,44.0,64,50,"[47, 4, 25, 60, 3, 37, 23, 39, 28, 57, 14, 23, 8, 25, 46, 50, 26, 5, 39, 27, 4, 48, 63, 7, 44, 0, 11, 55, 58, 6, 19, 60, 44, 63, 5, 49, 24, 55, 53, 48, 59, 40, 48, 34, 27, 9, 15, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 48, 16, 54, 31, 29, 44]",0.19632459599961294,0,2048
8,147,35.0,128,50,"[47, 4, 25, 60, 3, 21, 23, 50, 28, 57, 14, 23, 8, 25, 46, 50, 26, 5, 39, 27, 4, 48, 63, 7, 44, 0, 11, 55, 43, 6, 19, 60, 54, 63, 5, 49, 24, 55, 18, 48, 59, 40, 48, 34, 49, 9, 15, 38, 4, 46, 9, 23, 35, 3, 8, 33, 48, 1, 48, 16, 54, 31, 29, 44]",0.3493070729964529,0,2048
9,281,26.0,256,50,"[47, 4, 25, 41, 3, 21, 23, 50, 28, 57, 14, 37, 8, 25, 46, 50, 26, 5, 39, 27, 44, 48, 56, 7, 44, 0, 11, 55, 43, 6, 19, 60, 54, 63, 5, 49, 24, 55, 18, 48, 59, 40, 48, 34, 49, 9, 15, 38, 4, 62, 45, 23, 35, 3, 8, 33, 48, 1, 48, 16, 54, 31, 29, 44]",0.6422668489976786,0,2048
