,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
21,128,470.0,19488,22.063850899999807,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,150,0.5,2048
22,256,470.0,33682,39.150863699999945,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,150,0.5,2048
23,512,470.0,33682,39.150863699999945,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,150,0.5,2048
24,1024,470.0,33682,39.150863699999945,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,150,0.5,2048
25,2048,470.0,33682,39.150863699999945,"[4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 1.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 2.0, 4.0]",False,150,0.5,2048
26,0,298.0,150,0.0035801000001356442,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,150,0.75,2048
27,1,361.0,302,0.17112020000013217,"[4.0, 3.0, 0.0, 4.0, 3.0, 4.0, 1.0, 4.0, 2.0, 4.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 1.0, 3.0, 1.0, 4.0]",False,150,0.75,2048
28,2,387.0,454,0.48722280000015417,"[2.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, 1.0, 3.0, 3.0, 2.0, 4.0, 0.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0]",False,150,0.75,2048
29,4,400.0,758,0.837084200000163,"[3.0, 1.0, 3.0, 4.0, 2.0, 2.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0]",False,150,0.75,2048
30,8,429.0,1364,1.4958166999999776,"[3.0, 4.0, 4.0, 4.0, 2.0, 4.0, 4.0, 4.0, 2.0, 2.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 2.0, 1.0, 1.0, 4.0]",False,150,0.75,2048
31,16,458.0,2575,2.794890000000123,"[4.0, 3.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 1.0, 4.0]",False,150,0.75,2048
32,32,467.0,4994,5.408487500000092,"[4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]",False,150,0.75,2048
33,64,472.0,9828,11.207357799999954,"[4.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,150,0.75,2048
34,128,472.0,19492,22.900398400000086,"[4.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,150,0.75,2048
35,256,472.0,38065,43.84206689999996,"[4.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,150,0.75,2048
36,512,472.0,38065,43.84206689999996,"[4.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,150,0.75,2048
37,1024,472.0,38065,43.84206689999996,"[4.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,150,0.75,2048
38,2048,472.0,38065,43.84206689999996,"[4.0, 4.0, 2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,150,0.75,2048
39,0,298.0,200,0.008287600000130624,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,200,0.25,2048
40,1,422.0,402,0.1649552000001222,"[2.0, 4.0, 1.0, 4.0, 3.0, 3.0, 4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 4.0, 2.0, 2.0, 4.0, 4.0, 3.0, 3.0, 4.0]",False,200,0.25,2048
