,FEvals,Fitness,Iteration,Temperature,Time,max_iters
0,0.0,50.0,0,5,0.0006000610010232776,2048
1,2.0,48.0,1,5,0.00648995500523597,2048
2,4.0,46.0,2,5,0.011790600001404528,2048
3,6.0,46.0,3,5,0.017063938001228962,2048
4,8.0,48.0,4,5,0.01765003800392151,2048
5,10.0,50.0,5,5,0.022960358001000714,2048
6,12.0,48.0,6,5,0.023553828003059607,2048
7,14.0,46.0,7,5,0.024134316001436673,2048
8,16.0,46.0,8,5,0.024732167999900412,2048
9,18.0,46.0,9,5,0.030100294003204908,2048
10,20.0,48.0,10,5,0.03074144800484646,2048
11,22.0,48.0,11,5,0.03131413600203814,2048
12,24.0,50.0,12,5,0.03189010400092229,2048
13,26.0,50.0,13,5,0.032455576001666486,2048
14,28.0,50.0,14,5,0.033028541001840495,2048
15,30.0,50.0,15,5,0.033598578003875446,2048
16,31.0,50.0,16,5,0.03391950100194663,2048
17,33.0,52.0,17,5,0.03941822300112108,2048
18,35.0,50.0,18,5,0.04001903100288473,2048
19,37.0,50.0,19,5,0.04060063900396926,2048
20,39.0,50.0,20,5,0.04117686099925777,2048
21,41.0,50.0,21,5,0.0417513720021816,2048
22,42.0,50.0,22,5,0.04205813699809369,2048
23,44.0,50.0,23,5,0.0426543749999837,2048
24,46.0,52.0,24,5,0.04322844700072892,2048
25,48.0,52.0,25,5,0.04380711499834433,2048
26,50.0,50.0,26,5,0.04438366000249516,2048
27,52.0,52.0,27,5,0.04496186799951829,2048
28,54.0,50.0,28,5,0.045536645004176535,2048
29,56.0,50.0,29,5,0.04611623899836559,2048
30,58.0,50.0,30,5,0.046723380000912584,2048
31,60.0,50.0,31,5,0.04729708800005028,2048
32,62.0,52.0,32,5,0.047877322998829186,2048
33,64.0,52.0,33,5,0.05365980700298678,2048
34,66.0,52.0,34,5,0.054259484000795055,2048
35,68.0,52.0,35,5,0.0548680760039133,2048
36,70.0,52.0,36,5,0.05545278600038728,2048
37,72.0,54.0,37,5,0.05603378700470785,2048
38,74.0,56.0,38,5,0.05661326600238681,2048
39,75.0,56.0,39,5,0.05692420700506773,2048
40,76.0,56.0,40,5,0.057237863999034744,2048
41,77.0,56.0,41,5,0.05754796700057341,2048
42,79.0,56.0,42,5,0.05812935400172137,2048
43,81.0,58.0,43,5,0.05872987600014312,2048
44,82.0,58.0,44,5,0.05905506900307955,2048
45,83.0,58.0,45,5,0.05936613299854798,2048
46,85.0,60.0,46,5,0.0599432360031642,2048
47,87.0,60.0,47,5,0.06052432300202781,2048
48,89.0,60.0,48,5,0.061105721004423685,2048
49,91.0,60.0,49,5,0.06168809000519104,2048
50,93.0,62.0,50,5,0.06226229000458261,2048
51,95.0,62.0,51,5,0.06286839499807684,2048
52,97.0,60.0,52,5,0.06345479800074827,2048
53,99.0,60.0,53,5,0.06404301300062798,2048
54,101.0,58.0,54,5,0.0646245079988148,2048
55,103.0,58.0,55,5,0.06520850700326264,2048
56,105.0,60.0,56,5,0.06578860599984182,2048
57,107.0,58.0,57,5,0.06638897700031521,2048
58,108.0,58.0,58,5,0.0667157749994658,2048
59,109.0,58.0,59,5,0.06703408300381852,2048
60,111.0,58.0,60,5,0.06762336099927779,2048
61,112.0,58.0,61,5,0.06794359099876601,2048
62,114.0,58.0,62,5,0.06852838100166991,2048
63,116.0,58.0,63,5,0.06911780100199394,2048
64,118.0,58.0,64,5,0.06970713700138731,2048
65,120.0,56.0,65,5,0.07590344400523463,2048
66,122.0,54.0,66,5,0.07650527800433338,2048
67,124.0,54.0,67,5,0.0771024670029874,2048
68,126.0,56.0,68,5,0.07769487600307912,2048
69,127.0,56.0,69,5,0.07801534000464017,2048
70,129.0,54.0,70,5,0.0786469800004852,2048
71,131.0,54.0,71,5,0.07924171999911778,2048
72,133.0,56.0,72,5,0.07983240400062641,2048
73,135.0,58.0,73,5,0.08041802200023085,2048
74,137.0,60.0,74,5,0.08100903600279707,2048
75,139.0,60.0,75,5,0.08160188700276194,2048
76,141.0,60.0,76,5,0.0821862759985379,2048
77,142.0,60.0,77,5,0.08253057700494537,2048
78,144.0,60.0,78,5,0.08313629600161221,2048
79,146.0,60.0,79,5,0.083736250999209,2048
80,148.0,60.0,80,5,0.08433639600116294,2048
81,149.0,60.0,81,5,0.08466622700507287,2048
82,151.0,60.0,82,5,0.08526388699829113,2048
83,153.0,58.0,83,5,0.08586652899975888,2048
84,154.0,58.0,84,5,0.08619781600282295,2048
85,156.0,58.0,85,5,0.08681492100004107,2048
86,158.0,56.0,86,5,0.08741055900463834,2048
87,160.0,56.0,87,5,0.08800461300415918,2048
88,162.0,58.0,88,5,0.08859682700131088,2048
89,164.0,58.0,89,5,0.08918947400525212,2048
90,166.0,56.0,90,5,0.08978991099866107,2048
91,167.0,56.0,91,5,0.09012117000384023,2048
92,169.0,56.0,92,5,0.09075700399989728,2048
93,171.0,56.0,93,5,0.09135925000009593,2048
94,173.0,56.0,94,5,0.09196348900150042,2048
95,175.0,56.0,95,5,0.09255604500503978,2048
96,176.0,56.0,96,5,0.09289786300359992,2048
97,178.0,56.0,97,5,0.09350271700532176,2048
98,180.0,56.0,98,5,0.09411047900357516,2048
99,181.0,56.0,99,5,0.09445314000186045,2048
100,183.0,56.0,100,5,0.09506238600442884,2048
101,185.0,56.0,101,5,0.09567036099906545,2048
102,187.0,56.0,102,5,0.09626726800343022,2048
103,189.0,56.0,103,5,0.09686824399977922,2048
104,191.0,56.0,104,5,0.09746152099978644,2048
105,193.0,56.0,105,5,0.09806252500129631,2048
106,195.0,56.0,106,5,0.09867912000481738,2048
107,197.0,54.0,107,5,0.09927805500046816,2048
108,199.0,54.0,108,5,0.09988689899910241,2048
109,201.0,54.0,109,5,0.10048911700141616,2048
110,203.0,54.0,110,5,0.1010898989989073,2048
111,205.0,52.0,111,5,0.10169654800120043,2048
112,207.0,52.0,112,5,0.10231252900121035,2048
113,209.0,52.0,113,5,0.10292817099980311,2048
114,211.0,52.0,114,5,0.10352809100004379,2048
115,213.0,54.0,115,5,0.10414007600047626,2048
116,215.0,54.0,116,5,0.10474883099959698,2048
117,216.0,54.0,117,5,0.10508685000240803,2048
118,218.0,56.0,118,5,0.10569947700423654,2048
119,220.0,56.0,119,5,0.10633787100232439,2048
120,222.0,56.0,120,5,0.10695113700057846,2048
121,224.0,54.0,121,5,0.10755350500403438,2048
122,225.0,54.0,122,5,0.10790301600354724,2048
123,227.0,54.0,123,5,0.10851810999884037,2048
124,228.0,54.0,124,5,0.10886683499848004,2048
125,229.0,54.0,125,5,0.10921302199858474,2048
126,231.0,54.0,126,5,0.10982856799819274,2048
127,233.0,54.0,127,5,0.11046298500150442,2048
128,235.0,56.0,128,5,0.11107691500365036,2048
129,237.0,58.0,129,5,0.11818838600447634,2048
130,239.0,58.0,130,5,0.11885712500225054,2048
131,240.0,58.0,131,5,0.11920871800248278,2048
132,242.0,58.0,132,5,0.11982413400255609,2048
133,244.0,58.0,133,5,0.12043234500015387,2048
134,245.0,58.0,134,5,0.12078173200279707,2048
135,247.0,60.0,135,5,0.12138439300179016,2048
136,249.0,60.0,136,5,0.12199501100258203,2048
137,250.0,60.0,137,5,0.12235402100486681,2048
138,251.0,60.0,138,5,0.12273324800480623,2048
139,253.0,60.0,139,5,0.12334269200073322,2048
140,255.0,60.0,140,5,0.12395751500298502,2048
