,FEvals,Fitness,Iteration,Keep Percent,Population Size,Time,max_iters,use_fast_mimic
85,12987.0,6.0,85,0.25,150,15.741870693003875,2048,False
86,13138.0,6.0,86,0.25,150,15.91917535700486,2048,False
87,13289.0,6.0,87,0.25,150,16.09540978899895,2048,False
88,13440.0,6.0,88,0.25,150,16.272609238003497,2048,False
89,13591.0,6.0,89,0.25,150,16.466271759003575,2048,False
90,13742.0,6.0,90,0.25,150,16.644010085001355,2048,False
91,13893.0,6.0,91,0.25,150,16.82348147599987,2048,False
92,14044.0,6.0,92,0.25,150,17.00128372000472,2048,False
93,14195.0,6.0,93,0.25,150,17.179269940002996,2048,False
94,14346.0,6.0,94,0.25,150,17.358455548004713,2048,False
95,14497.0,6.0,95,0.25,150,17.53725053800008,2048,False
96,14648.0,6.0,96,0.25,150,17.71474266899895,2048,False
97,14799.0,6.0,97,0.25,150,17.892896777004353,2048,False
98,14950.0,6.0,98,0.25,150,18.07024905000435,2048,False
99,15101.0,6.0,99,0.25,150,18.24740249200113,2048,False
100,15252.0,6.0,100,0.25,150,18.426475785003277,2048,False
101,15403.0,6.0,101,0.25,150,18.604617775003135,2048,False
102,15554.0,6.0,102,0.25,150,18.781942667003023,2048,False
103,15705.0,6.0,103,0.25,150,18.95944675699866,2048,False
104,15856.0,6.0,104,0.25,150,19.13670578700112,2048,False
105,16007.0,6.0,105,0.25,150,19.313446189000388,2048,False
106,16158.0,6.0,106,0.25,150,19.491392793999694,2048,False
107,16309.0,6.0,107,0.25,150,19.667925872003252,2048,False
108,16460.0,6.0,108,0.25,150,19.843874015001347,2048,False
109,16611.0,6.0,109,0.25,150,20.02009680899937,2048,False
110,16762.0,6.0,110,0.25,150,20.196307259000605,2048,False
111,16913.0,6.0,111,0.25,150,20.37428958900273,2048,False
112,17064.0,6.0,112,0.25,150,20.5533717990038,2048,False
113,17215.0,6.0,113,0.25,150,20.731132100998366,2048,False
114,17366.0,6.0,114,0.25,150,20.91602449600032,2048,False
115,17517.0,6.0,115,0.25,150,21.10339789200225,2048,False
116,17668.0,6.0,116,0.25,150,21.312558288002037,2048,False
117,17819.0,6.0,117,0.25,150,21.492810846000793,2048,False
118,17970.0,6.0,118,0.25,150,21.67122730900155,2048,False
119,18121.0,6.0,119,0.25,150,21.851709350004967,2048,False
120,18272.0,6.0,120,0.25,150,22.029315881998627,2048,False
121,18423.0,6.0,121,0.25,150,22.20701163600461,2048,False
122,18574.0,6.0,122,0.25,150,22.385099145001732,2048,False
123,18725.0,6.0,123,0.25,150,22.591377283999464,2048,False
