,FEvals,Fitness,Iteration,Restarts,State,Time,current_restart,max_iters
0,0,16.0,0,50,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.0009350800028187223,0,2048
1,1,16.0,1,50,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.005389190999267157,0,2048
2,2,16.0,2,50,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.010052778998215217,0,2048
3,4,16.0,4,50,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.015107703999092337,0,2048
4,11,9.0,8,50,"[15, 4, 9, 13, 3, 3, 7, 7, 12, 9, 14, 8, 0, 9, 14, 10]",0.022415944004023913,0,2048
5,20,8.0,16,50,"[15, 4, 9, 13, 3, 3, 7, 5, 12, 9, 14, 8, 0, 9, 14, 10]",0.030769728997256607,0,2048
6,36,8.0,32,50,"[15, 4, 9, 13, 3, 3, 7, 5, 12, 9, 14, 8, 0, 9, 14, 10]",0.04248001999803819,0,2048
7,70,6.0,64,50,"[15, 4, 9, 13, 6, 3, 7, 5, 12, 14, 14, 8, 0, 9, 14, 10]",0.0627207220022683,0,2048
8,136,4.0,128,50,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.09975151399703464,0,2048
9,264,4.0,256,50,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.17190790200402262,0,2048
10,335,4.0,512,50,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.21932221700262744,0,2048
11,335,4.0,1024,50,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.21932221700262744,0,2048
12,335,4.0,2048,50,"[15, 4, 9, 13, 6, 3, 7, 1, 12, 14, 11, 8, 0, 9, 14, 10]",0.21932221700262744,0,2048
13,335,15.0,0,50,"[0, 15, 6, 2, 10, 13, 3, 1, 6, 7, 0, 0, 4, 7, 0, 2]",0.22741854400373995,1,2048
14,337,13.0,1,50,"[0, 15, 6, 2, 10, 13, 3, 1, 6, 6, 0, 0, 4, 7, 0, 2]",0.23591745900193928,1,2048
15,338,13.0,2,50,"[0, 15, 6, 2, 10, 13, 3, 1, 6, 6, 0, 0, 4, 7, 0, 2]",0.2439731699996628,1,2048
16,342,10.0,4,50,"[0, 15, 9, 2, 10, 13, 3, 1, 6, 6, 0, 0, 4, 7, 15, 2]",0.2535051890008617,1,2048
17,347,9.0,8,50,"[0, 15, 9, 2, 10, 13, 3, 1, 6, 11, 0, 0, 4, 7, 15, 2]",0.26381030499760527,1,2048
18,356,8.0,16,50,"[0, 15, 9, 2, 10, 13, 3, 1, 6, 14, 0, 0, 4, 7, 15, 2]",0.27650548399833497,1,2048
19,374,6.0,32,50,"[0, 15, 9, 2, 8, 13, 3, 1, 6, 14, 0, 2, 4, 7, 15, 2]",0.29434602100081975,1,2048
20,407,5.0,64,50,"[0, 15, 9, 2, 8, 13, 3, 1, 6, 14, 0, 2, 4, 7, 10, 2]",0.3216673400020227,1,2048
21,472,4.0,128,50,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 0, 2, 4, 7, 10, 2]",0.36927770399779547,1,2048
22,601,3.0,256,50,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 11, 2, 4, 7, 10, 2]",0.4619982410004013,1,2048
23,756,3.0,512,50,"[0, 15, 9, 12, 8, 13, 3, 1, 6, 14, 11, 2, 4, 7, 10, 2]",0.5812734339997405,1,2048
