,FEvals,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,150.0,24.0,0,0.4,150,0.003412848003790714,2048
1,302.0,32.0,1,0.4,150,0.021442123004817404,2048
2,453.0,32.0,2,0.4,150,0.0354849940049462,2048
3,604.0,32.0,3,0.4,150,0.04954061200260185,2048
4,755.0,32.0,4,0.4,150,0.05939366200618679,2048
5,906.0,32.0,5,0.4,150,0.07354431500425562,2048
6,1057.0,32.0,6,0.4,150,0.08340429500094615,2048
7,1209.0,33.0,7,0.4,150,0.09339602300315164,2048
8,1361.0,34.0,8,0.4,150,0.10340324100252474,2048
9,1512.0,34.0,9,0.4,150,0.1177971590004745,2048
10,1663.0,34.0,10,0.4,150,0.12775679500191472,2048
11,1814.0,34.0,11,0.4,150,0.1376961010028026,2048
12,1965.0,34.0,12,0.4,150,0.14762695200624876,2048
13,2116.0,34.0,13,0.4,150,0.1575530530026299,2048
14,2268.0,35.0,14,0.4,150,0.16756359999999404,2048
15,2419.0,35.0,15,0.4,150,0.17754067500209203,2048
16,2570.0,35.0,16,0.4,150,0.1874183680047281,2048
17,2721.0,35.0,17,0.4,150,0.20225472300080582,2048
18,2872.0,35.0,18,0.4,150,0.21223980000650045,2048
19,3024.0,36.0,19,0.4,150,0.2221715560008306,2048
20,3176.0,37.0,20,0.4,150,0.23196393300167983,2048
21,3327.0,37.0,21,0.4,150,0.24179149600240635,2048
22,3478.0,37.0,22,0.4,150,0.2516322150040651,2048
23,3629.0,37.0,23,0.4,150,0.2615208440038259,2048
24,3780.0,37.0,24,0.4,150,0.27134102000127314,2048
25,3931.0,37.0,25,0.4,150,0.28112692400463857,2048
26,4082.0,37.0,26,0.4,150,0.2909032070019748,2048
27,4233.0,37.0,27,0.4,150,0.30082757400668925,2048
28,4384.0,37.0,28,0.4,150,0.31058082400704734,2048
29,4535.0,37.0,29,0.4,150,0.320464748001541,2048
30,4686.0,37.0,30,0.4,150,0.3303020160019514,2048
31,4837.0,37.0,31,0.4,150,0.34022165200440213,2048
32,4988.0,37.0,32,0.4,150,0.3500305570050841,2048
33,5139.0,37.0,33,0.4,150,0.3650998270022683,2048
34,5290.0,37.0,34,0.4,150,0.3750219850044232,2048
35,5441.0,37.0,35,0.4,150,0.3848850920039695,2048
36,5592.0,37.0,36,0.4,150,0.39464575300371507,2048
37,5743.0,37.0,37,0.4,150,0.40445138300128747,2048
38,5894.0,37.0,38,0.4,150,0.41421169000386726,2048
39,6045.0,37.0,39,0.4,150,0.4242059650059673,2048
40,6196.0,37.0,40,0.4,150,0.4339398270021775,2048
41,6347.0,37.0,41,0.4,150,0.44377646000066306,2048
42,6498.0,37.0,42,0.4,150,0.4536025200068252,2048
43,6649.0,37.0,43,0.4,150,0.46337138000671985,2048
44,6800.0,37.0,44,0.4,150,0.47312100100680254,2048
45,6951.0,37.0,45,0.4,150,0.48287014300149167,2048
46,7102.0,37.0,46,0.4,150,0.49271450900414493,2048
47,7253.0,37.0,47,0.4,150,0.5025507720056339,2048
