,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
35,256,398.0,742,0.39382069999999914,"[2, 4, 3, 4, 3, 1, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 3, 2, 4]",25,2048,2
36,512,398.0,762,0.41361209999999815,"[2, 4, 3, 4, 3, 1, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 3, 2, 4]",25,2048,2
37,1024,398.0,762,0.41361209999999815,"[2, 4, 3, 4, 3, 1, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 3, 2, 4]",25,2048,2
38,2048,398.0,762,0.41361209999999815,"[2, 4, 3, 4, 3, 1, 2, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 3, 2, 4]",25,2048,2
39,0,162.0,762,0.42541200000000146,"[1, 4, 0, 1, 1, 2, 3, 1, 0, 1, 2, 3, 0, 0, 3, 1, 0, 1, 0, 0]",25,2048,3
40,1,174.0,764,0.4345914999999998,"[1, 4, 3, 1, 1, 2, 3, 1, 0, 1, 2, 3, 0, 0, 3, 1, 0, 1, 0, 0]",25,2048,3
41,2,180.0,766,0.4479295999999984,"[1, 4, 3, 1, 1, 2, 3, 1, 0, 1, 4, 3, 0, 0, 3, 1, 0, 1, 0, 0]",25,2048,3
42,4,180.0,768,0.45937980000000067,"[1, 4, 3, 1, 1, 2, 3, 1, 0, 1, 4, 3, 0, 0, 3, 1, 0, 1, 0, 0]",25,2048,3
43,8,225.0,774,0.47239709999999846,"[4, 4, 3, 1, 1, 2, 3, 1, 0, 1, 4, 3, 0, 3, 3, 1, 0, 1, 0, 0]",25,2048,3
44,16,293.0,785,0.4871699000000014,"[4, 4, 3, 1, 1, 2, 3, 1, 0, 3, 4, 3, 0, 3, 3, 4, 0, 1, 0, 4]",25,2048,3
45,32,348.0,806,0.5052452999999986,"[4, 4, 3, 1, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 1, 4, 4]",25,2048,3
46,64,368.0,841,0.5316119000000015,"[4, 4, 4, 3, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 2, 4, 4]",25,2048,3
47,128,374.0,906,0.5798124999999992,"[4, 4, 4, 4, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 2, 4, 4]",25,2048,3
48,256,374.0,1034,0.6720767999999993,"[4, 4, 4, 4, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 2, 4, 4]",25,2048,3
49,512,374.0,1058,0.7078606000000001,"[4, 4, 4, 4, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 2, 4, 4]",25,2048,3
50,1024,374.0,1058,0.7078606000000001,"[4, 4, 4, 4, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 2, 4, 4]",25,2048,3
51,2048,374.0,1058,0.7078606000000001,"[4, 4, 4, 4, 1, 2, 3, 3, 4, 3, 4, 3, 0, 4, 3, 4, 2, 2, 4, 4]",25,2048,3
52,0,287.0,1058,0.7270854,"[2, 3, 2, 2, 0, 3, 4, 3, 0, 0, 1, 2, 2, 4, 1, 3, 3, 1, 3, 1]",25,2048,4
53,1,290.0,1060,0.7468104000000011,"[2, 3, 2, 2, 0, 3, 4, 3, 0, 3, 1, 2, 2, 4, 1, 3, 3, 1, 3, 1]",25,2048,4
54,2,290.0,1061,0.7667847999999999,"[2, 3, 2, 2, 0, 3, 4, 3, 0, 3, 1, 2, 2, 4, 1, 3, 3, 1, 3, 1]",25,2048,4
55,4,290.0,1063,0.7835542999999987,"[2, 3, 2, 2, 0, 3, 4, 3, 0, 3, 1, 2, 2, 4, 1, 3, 3, 1, 3, 1]",25,2048,4
56,8,300.0,1069,0.8120845999999986,"[2, 4, 2, 2, 0, 3, 4, 3, 3, 3, 1, 2, 2, 4, 1, 3, 3, 1, 3, 1]",25,2048,4
57,16,313.0,1079,0.839379000000001,"[2, 4, 3, 2, 0, 4, 4, 3, 3, 3, 1, 2, 2, 4, 1, 3, 3, 1, 3, 1]",25,2048,4
58,32,360.0,1101,0.8642053999999995,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 3, 3, 1, 3, 2]",25,2048,4
59,64,378.0,1134,0.9086219,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 3, 3, 1, 3, 4]",25,2048,4
60,128,388.0,1199,0.9752347999999991,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 4, 3, 1, 3, 4]",25,2048,4
61,256,388.0,1327,1.0901150999999984,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 4, 3, 1, 3, 4]",25,2048,4
62,512,388.0,1399,1.161151199999999,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 4, 3, 1, 3, 4]",25,2048,4
63,1024,388.0,1399,1.161151199999999,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 4, 3, 1, 3, 4]",25,2048,4
64,2048,388.0,1399,1.161151199999999,"[4, 4, 3, 4, 0, 4, 4, 3, 4, 3, 4, 2, 2, 4, 1, 4, 3, 1, 3, 4]",25,2048,4
65,0,243.0,1399,1.1787410999999999,"[3, 4, 1, 1, 4, 0, 2, 4, 1, 2, 1, 1, 4, 0, 1, 0, 2, 3, 2, 1]",25,2048,5
66,1,247.0,1401,1.1957175000000007,"[3, 4, 1, 1, 4, 0, 2, 4, 1, 2, 1, 1, 4, 0, 1, 0, 2, 4, 2, 1]",25,2048,5
67,2,263.0,1403,1.2113495999999984,"[3, 4, 1, 1, 4, 0, 2, 4, 1, 2, 1, 1, 4, 0, 1, 0, 4, 4, 2, 1]",25,2048,5
68,4,272.0,1406,1.2285748000000005,"[3, 4, 1, 1, 4, 1, 2, 4, 1, 2, 1, 1, 4, 0, 1, 0, 4, 4, 2, 1]",25,2048,5
69,8,285.0,1412,1.2480477999999984,"[3, 4, 1, 1, 4, 1, 2, 4, 1, 2, 3, 1, 4, 1, 1, 0, 4, 4, 2, 1]",25,2048,5
70,16,370.0,1423,1.2692170999999988,"[3, 4, 1, 1, 4, 3, 2, 4, 1, 2, 3, 1, 4, 1, 1, 4, 4, 4, 2, 4]",25,2048,5
71,32,380.0,1441,1.2947717999999995,"[4, 4, 1, 1, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 2, 4]",25,2048,5
72,64,406.0,1476,1.3351599999999983,"[4, 4, 1, 4, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 4, 4]",25,2048,5
73,128,406.0,1540,1.407514899999999,"[4, 4, 1, 4, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 4, 4]",25,2048,5
74,256,406.0,1655,1.5320730000000005,"[4, 4, 1, 4, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 4, 4]",25,2048,5
