,FEvals,Fitness,Iteration,Mutation Rate,Population Size,State,Time,max_iters
35,38814,1.0,256,0.6,150,"[13, 8, 10, 0, 0, 3, 1, 7, 11, 15, 12, 4, 6, 14, 2, 5]",17.84662614800618,2048
36,51196,1.0,512,0.6,150,"[13, 8, 10, 0, 0, 3, 1, 7, 11, 15, 12, 4, 6, 14, 2, 5]",23.572821065004973,2048
37,51196,1.0,1024,0.6,150,"[13, 8, 10, 0, 0, 3, 1, 7, 11, 15, 12, 4, 6, 14, 2, 5]",23.572821065004973,2048
38,51196,1.0,2048,0.6,150,"[13, 8, 10, 0, 0, 3, 1, 7, 11, 15, 12, 4, 6, 14, 2, 5]",23.572821065004973,2048
39,200,16.0,0,0.4,200,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.08176391099550528,2048
40,402,8.0,1,0.4,200,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.1844320849995711,2048
41,603,8.0,2,0.4,200,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.28753701399546117,2048
42,1006,7.0,4,0.4,200,"[4, 11, 7, 12, 5, 2, 14, 6, 0, 2, 13, 3, 13, 3, 8, 2]",0.4943316130011226,2048
43,1810,7.0,8,0.4,200,"[4, 11, 7, 12, 5, 2, 14, 6, 0, 2, 13, 3, 13, 3, 8, 2]",0.870949809999729,2048
44,3420,5.0,16,0.4,200,"[14, 1, 7, 12, 15, 2, 12, 5, 0, 2, 0, 10, 13, 3, 8, 2]",1.608685218001483,2048
45,6637,4.0,32,0.4,200,"[3, 11, 7, 5, 15, 6, 14, 11, 15, 4, 0, 3, 12, 9, 8, 2]",3.0992742000016733,2048
46,13072,1.0,64,0.4,200,"[3, 13, 7, 5, 8, 6, 14, 0, 15, 4, 0, 10, 12, 9, 11, 2]",6.067111076001311,2048
47,25936,1.0,128,0.4,200,"[3, 13, 7, 5, 8, 6, 14, 0, 15, 4, 0, 10, 12, 9, 11, 2]",11.948032839994994,2048
48,51664,1.0,256,0.4,200,"[3, 13, 7, 5, 8, 6, 14, 0, 15, 4, 0, 10, 12, 9, 11, 2]",23.834927140000218,2048
49,51865,1.0,512,0.4,200,"[3, 13, 7, 5, 8, 6, 14, 0, 15, 4, 0, 10, 12, 9, 11, 2]",23.94108604199573,2048
50,51865,1.0,1024,0.4,200,"[3, 13, 7, 5, 8, 6, 14, 0, 15, 4, 0, 10, 12, 9, 11, 2]",23.94108604199573,2048
51,51865,1.0,2048,0.4,200,"[3, 13, 7, 5, 8, 6, 14, 0, 15, 4, 0, 10, 12, 9, 11, 2]",23.94108604199573,2048
52,200,16.0,0,0.5,200,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.08274469699972542,2048
53,402,8.0,1,0.5,200,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.1883300949994009,2048
54,604,7.0,2,0.5,200,"[2, 10, 6, 1, 14, 1, 0, 12, 4, 0, 13, 3, 12, 6, 11, 5]",0.29478025899879867,2048
55,1006,7.0,4,0.5,200,"[2, 10, 6, 1, 14, 1, 0, 12, 4, 0, 13, 3, 12, 6, 11, 5]",0.49058188200433506,2048
56,1810,7.0,8,0.5,200,"[2, 10, 6, 1, 14, 1, 0, 12, 4, 0, 13, 3, 12, 6, 11, 5]",0.8681746780057438,2048
57,3420,4.0,16,0.5,200,"[1, 11, 7, 0, 13, 9, 14, 3, 15, 1, 12, 0, 6, 8, 5, 14]",1.6140565940004308,2048
58,6638,2.0,32,0.5,200,"[1, 4, 7, 11, 13, 2, 9, 3, 15, 15, 12, 0, 6, 8, 5, 14]",3.0891217030002736,2048
59,13071,1.0,64,0.5,200,"[1, 4, 7, 11, 13, 2, 10, 3, 15, 15, 12, 0, 6, 8, 5, 14]",6.027511261003383,2048
60,20509,0.0,128,0.5,200,"[1, 4, 7, 11, 13, 2, 10, 3, 0, 15, 12, 9, 6, 8, 5, 14]",9.49301249400014,2048
61,20509,0.0,256,0.5,200,"[1, 4, 7, 11, 13, 2, 10, 3, 0, 15, 12, 9, 6, 8, 5, 14]",9.49301249400014,2048
62,20509,0.0,512,0.5,200,"[1, 4, 7, 11, 13, 2, 10, 3, 0, 15, 12, 9, 6, 8, 5, 14]",9.49301249400014,2048
63,20509,0.0,1024,0.5,200,"[1, 4, 7, 11, 13, 2, 10, 3, 0, 15, 12, 9, 6, 8, 5, 14]",9.49301249400014,2048
64,20509,0.0,2048,0.5,200,"[1, 4, 7, 11, 13, 2, 10, 3, 0, 15, 12, 9, 6, 8, 5, 14]",9.49301249400014,2048
65,200,16.0,0,0.6,200,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.0989374350028811,2048
66,402,8.0,1,0.6,200,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.20802789599838434,2048
67,603,8.0,2,0.6,200,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.3157208620032179,2048
68,1005,8.0,4,0.6,200,"[4, 9, 15, 0, 10, 0, 14, 10, 13, 2, 6, 12, 3, 9, 12, 5]",0.5147442290035542,2048
69,1810,7.0,8,0.6,200,"[3, 7, 2, 11, 15, 12, 5, 8, 13, 4, 13, 1, 5, 7, 14, 10]",0.8959956660037278,2048
70,3419,5.0,16,0.6,200,"[15, 0, 0, 13, 5, 12, 1, 12, 10, 2, 13, 1, 1, 9, 11, 6]",1.6443484289993648,2048
71,6637,3.0,32,0.6,200,"[14, 8, 13, 7, 7, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",3.148782577001839,2048
72,13071,1.0,64,0.6,200,"[14, 8, 13, 9, 3, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",6.083933223999338,2048
73,25935,1.0,128,0.6,200,"[14, 8, 13, 9, 3, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",12.203170578002755,2048
74,49251,1.0,256,0.6,200,"[14, 8, 13, 9, 3, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",23.15401031899819,2048
75,49251,1.0,512,0.6,200,"[14, 8, 13, 9, 3, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",23.15401031899819,2048
76,49251,1.0,1024,0.6,200,"[14, 8, 13, 9, 3, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",23.15401031899819,2048
77,49251,1.0,2048,0.6,200,"[14, 8, 13, 9, 3, 0, 15, 12, 10, 2, 6, 11, 1, 4, 11, 5]",23.15401031899819,2048
78,300,16.0,0,0.4,300,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.12488354400557,2048
79,602,8.0,1,0.4,300,"[8, 0, 14, 9, 15, 7, 1, 12, 5, 11, 4, 10, 5, 14, 14, 11]",0.27927008899860084,2048
80,904,7.0,2,0.4,300,"[0, 3, 5, 8, 0, 15, 4, 1, 11, 13, 7, 12, 3, 14, 2, 3]",0.4342435110011138,2048
81,1507,6.0,4,0.4,300,"[10, 7, 7, 15, 0, 12, 14, 14, 7, 4, 2, 8, 13, 1, 12, 6]",0.7250285320042167,2048
82,2711,6.0,8,0.4,300,"[10, 7, 7, 15, 0, 12, 14, 14, 7, 4, 2, 8, 13, 1, 12, 6]",1.2829259889986133,2048
83,5119,6.0,16,0.4,300,"[10, 7, 7, 15, 0, 12, 14, 14, 7, 4, 2, 8, 13, 1, 12, 6]",2.396635638004227,2048
84,9938,3.0,32,0.4,300,"[6, 8, 12, 0, 4, 3, 7, 11, 13, 2, 5, 14, 14, 9, 13, 1]",4.761338308999257,2048
85,19572,1.0,64,0.4,300,"[6, 8, 15, 0, 12, 3, 7, 11, 13, 2, 5, 1, 14, 9, 13, 4]",9.16897950800194,2048
86,29807,0.0,128,0.4,300,"[10, 8, 15, 0, 12, 3, 7, 11, 13, 2, 5, 1, 14, 9, 6, 4]",14.044975273005548,2048
87,29807,0.0,256,0.4,300,"[10, 8, 15, 0, 12, 3, 7, 11, 13, 2, 5, 1, 14, 9, 6, 4]",14.044975273005548,2048
88,29807,0.0,512,0.4,300,"[10, 8, 15, 0, 12, 3, 7, 11, 13, 2, 5, 1, 14, 9, 6, 4]",14.044975273005548,2048
89,29807,0.0,1024,0.4,300,"[10, 8, 15, 0, 12, 3, 7, 11, 13, 2, 5, 1, 14, 9, 6, 4]",14.044975273005548,2048
90,29807,0.0,2048,0.4,300,"[10, 8, 15, 0, 12, 3, 7, 11, 13, 2, 5, 1, 14, 9, 6, 4]",14.044975273005548,2048
91,300,16.0,0,0.5,300,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.1609307489998173,2048
92,602,6.0,1,0.5,300,"[3, 7, 8, 2, 5, 12, 1, 0, 6, 14, 2, 15, 8, 10, 14, 9]",0.3546593599967309,2048
93,903,6.0,2,0.5,300,"[3, 7, 8, 2, 5, 12, 1, 0, 6, 14, 2, 15, 8, 10, 14, 9]",0.5489446150022559,2048
94,1505,6.0,4,0.5,300,"[3, 7, 8, 2, 5, 12, 1, 0, 6, 14, 2, 15, 8, 10, 14, 9]",0.8847122009974555,2048
95,2709,6.0,8,0.5,300,"[3, 7, 8, 2, 5, 12, 1, 0, 6, 14, 2, 15, 8, 10, 14, 9]",1.4437659530012752,2048
96,5118,4.0,16,0.5,300,"[8, 10, 5, 2, 15, 1, 4, 7, 15, 0, 12, 6, 9, 7, 4, 13]",2.5722932099961326,2048
97,9934,4.0,32,0.5,300,"[8, 10, 5, 2, 15, 1, 4, 7, 15, 0, 12, 6, 9, 7, 4, 13]",4.8344597359973704,2048
98,19569,1.0,64,0.5,300,"[4, 11, 5, 2, 15, 10, 0, 14, 3, 0, 7, 13, 1, 9, 12, 8]",9.303190876998997,2048
99,28901,0.0,128,0.5,300,"[4, 11, 5, 2, 15, 10, 12, 14, 3, 0, 7, 13, 1, 9, 6, 8]",13.52783343900228,2048
100,28901,0.0,256,0.5,300,"[4, 11, 5, 2, 15, 10, 12, 14, 3, 0, 7, 13, 1, 9, 6, 8]",13.52783343900228,2048
101,28901,0.0,512,0.5,300,"[4, 11, 5, 2, 15, 10, 12, 14, 3, 0, 7, 13, 1, 9, 6, 8]",13.52783343900228,2048
102,28901,0.0,1024,0.5,300,"[4, 11, 5, 2, 15, 10, 12, 14, 3, 0, 7, 13, 1, 9, 6, 8]",13.52783343900228,2048
103,28901,0.0,2048,0.5,300,"[4, 11, 5, 2, 15, 10, 12, 14, 3, 0, 7, 13, 1, 9, 6, 8]",13.52783343900228,2048
104,300,16.0,0,0.6,300,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.12297850799950538,2048
105,602,8.0,1,0.6,300,"[4, 15, 13, 7, 5, 0, 12, 14, 6, 7, 12, 6, 8, 2, 11, 9]",0.27863926500140224,2048
106,903,8.0,2,0.6,300,"[4, 15, 13, 7, 5, 0, 12, 14, 6, 7, 12, 6, 8, 2, 11, 9]",0.45695029600028647,2048
107,1507,5.0,4,0.6,300,"[0, 13, 5, 8, 1, 15, 4, 14, 7, 3, 11, 6, 10, 9, 5, 3]",0.752365804000874,2048
108,2711,5.0,8,0.6,300,"[0, 13, 5, 8, 1, 15, 4, 14, 7, 3, 11, 6, 10, 9, 5, 3]",1.3151575009978842,2048
109,5119,5.0,16,0.6,300,"[0, 13, 5, 8, 1, 15, 4, 14, 7, 3, 11, 6, 10, 9, 5, 3]",2.415192560001742,2048
110,9936,4.0,32,0.6,300,"[1, 13, 5, 8, 1, 15, 4, 14, 0, 3, 3, 6, 12, 9, 5, 2]",4.714225884003099,2048
111,19569,2.0,64,0.6,300,"[4, 13, 5, 9, 1, 15, 7, 14, 0, 2, 8, 6, 12, 12, 8, 11]",9.257371346000582,2048
112,38834,1.0,128,0.6,300,"[7, 13, 10, 8, 1, 15, 4, 9, 0, 3, 11, 6, 12, 2, 5, 14]",18.323240555997472,2048
113,77362,1.0,256,0.6,300,"[7, 13, 10, 8, 1, 15, 4, 9, 0, 3, 11, 6, 12, 2, 5, 14]",36.207357548999425,2048
114,88800,1.0,512,0.6,300,"[7, 13, 10, 8, 1, 15, 4, 9, 0, 3, 11, 6, 12, 2, 5, 14]",41.82787753699813,2048
115,88800,1.0,1024,0.6,300,"[7, 13, 10, 8, 1, 15, 4, 9, 0, 3, 11, 6, 12, 2, 5, 14]",41.82787753699813,2048
116,88800,1.0,2048,0.6,300,"[7, 13, 10, 8, 1, 15, 4, 9, 0, 3, 11, 6, 12, 2, 5, 14]",41.82787753699813,2048
